Name;Type;GUID;Notes;Phase;Version;Priority;Stereotype;Fully Qualified Stereotype;Language;Author;Scope;Alias;Status;Complexity;Keywords;Is Abstract;Is Leaf;Is Root;Is Specification;Created Date;Modified Date;Requirement Difficulty;Requirement Priority;GenFile;Profile Metatype;CSV_KEY;CSV_PARENT_KEY
Certification;Class;{DACF1555-E94E-4363-952D-F351A5E5482B};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:00:48;11-юни-2021 19:23:12;;;;Class;CSV26A9B028;
Course;Class;{7B438BF1-7078-4662-94E5-5E51CC65E8BB};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:00:57;11-юни-2021 19:23:12;;;;Class;CSV2E0D8C87;
Honor and Award;Class;{9E269FDB-4A5F-4b9a-8BCF-EA414A3BCEB0};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:01:07;14-юни-2021 15:11:38;;;;Class;CSV1E6D50CC;
Interest and Hobby;Class;{2AF98B8A-9DF9-463a-8F8B-4644506B120D};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:01:15;14-юни-2021 15:11:47;;;;Class;CSV24565234;
Organization;Class;{FEC374EB-F960-44fd-AABA-FAD1036173E4};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:01:21;11-юни-2021 19:23:12;;;;Class;CSV4DD4F4FB;
Vacation;Class;{B95F2F1D-8F21-4ba7-9B5E-C122069C24A5};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:01:32;11-юни-2021 19:23:12;;;;Class;CSV0626C5A6;
Volunteering;Class;{2139B38A-665D-466a-B8CA-5193F7D51C33};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:01:39;11-юни-2021 19:23:12;;;;Class;CSV0A1A384D;
Accomplishment;Class;{43FECE68-2DD3-4577-8F73-20153CAAD1C1};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:01:51;11-юни-2021 19:22:48;;;;Class;CSV9F81A77A;
Language;Class;{102AEE00-4CED-4638-8F5F-456179CE5B3C};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:02:11;11-юни-2021 19:23:12;;;;Class;CSV9430D990;
Interest;Class;{2F057CC3-981E-43b8-9586-F7842248E8D6};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:03:05;11-юни-2021 19:23:36;;;;Class;CSVB968737B;
Hobby;Class;{86071ED5-1DC3-4c02-B99A-652A60FB1BEA};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:03:13;11-юни-2021 19:23:36;;;;Class;CSV0D463CDE;
Honor;Class;{9FA57784-E4DB-45db-9ECA-4FF15BCA7123};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:03:25;11-юни-2021 19:23:36;;;;Class;CSVA81F7CDD;
Achievement;Class;{026D659C-F5F4-440d-AC49-24D93C206C86};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:08:17;11-юни-2021 19:23:36;;;;Class;CSV3E69BBB1;
Break;Class;{95AC8C22-A1A2-4b72-AE7D-A2038E1E16FD};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:10:13;11-юни-2021 19:23:36;;;;Class;CSV5B228FDD;
Volunteering interest;Class;{11B01FE5-9E8C-4275-AD5B-DB89BF8EC065};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:10:25;22-юни-2021 14:45:26;;;;Class;CSVE44D4ABC;
Award;Class;{BC7F23B8-D046-4375-B8FF-7308C297454E};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:03:30;11-юни-2021 19:23:36;;;;Class;CSV344F1C1B;
Volunteer work;Class;{8A8DADF8-2258-46cf-A7C4-EFB7B7D69F82};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:10:32;22-юни-2021 14:45:38;;;;Class;CSVC43C8CCE;
Academic achievement;Class;{BB454412-3426-4534-9A9C-14CD24AFBB45};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:11:08;11-юни-2021 19:27:05;;;;Class;CSV12766754;
Summer course scholarship;Class;{A54F13F4-9970-4bc3-8E8E-BEBF3D75F945};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:11:32;11-юни-2021 19:24:06;;;;Class;CSV9A13ED2E;
School leadership position;Class;{B868CB56-1DC3-4954-AA64-21494537CF2F};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:11:53;11-юни-2021 19:27:05;;;;Class;CSV5C028CF2;
Language course;Class;{C9B64F9C-85C9-4736-A464-931B87990910};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:13:08;22-юни-2021 11:35:36;;;;Class;CSV519FBBDB;
Art;Class;{BB763F95-F00A-4129-BC80-0D497C58EB28};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:13:37;11-юни-2021 19:27:05;;;;Class;CSV3E9C0647;
Music lessons;Class;{A2C1B416-612D-4113-943F-8B6F89048511};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:13:43;11-юни-2021 19:24:06;;;;Class;CSV44E9877A;
Training;Class;{CDDA1C5A-C879-402c-AA20-32563FA635D5};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:14:04;11-юни-2021 19:27:05;;;;Class;CSV0874A14D;
Camp;Class;{B0EBA3EB-398B-494b-A9D4-180A13785814};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:14:14;11-юни-2021 19:23:36;;;;Class;CSVA133B568;
Sabbatical;Class;{91D03C1C-0296-4ebf-A7DC-B6914A7F69B7};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:16:51;11-юни-2021 19:27:05;;;;Class;CSV851ECD61;
Pandemic;Class;{8BDCE748-DDF0-4b8c-99D6-110F9B0160BA};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:16:57;11-юни-2021 19:27:05;;;;Class;CSVBDFE0403;
NDA NCC NSA;Class;{504A7674-D2CD-4368-B481-431D83CE0416};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:17:06;11-юни-2021 19:27:05;;;;Class;CSVBB81E486;
Break interest;Class;{BB49A5E5-BBC4-448d-88B5-2CE135155A40};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:17:15;22-юни-2021 14:45:31;;;;Class;CSVA0206F57;
Gamecation;Class;{296F9FF5-C24F-443e-91EE-143D4F9DBD83};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:17:36;11-юни-2021 19:24:06;;;;Class;CSV074CADAA;
Binge-watching;Class;{D2A4BC05-D1CE-4d9e-AD74-65EEFF815EE1};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:17:42;11-юни-2021 19:24:06;;;;Class;CSV82F49F8B;
Sport;Class;{77A165A9-5275-4f01-BAF6-CD8533950D9C};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:18:00;11-юни-2021 19:27:05;;;;Class;CSV1DD6820C;
Travel;Class;{262846C1-A105-4ab1-8FE4-7DDAF488CF4A};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:18:22;11-юни-2021 19:24:06;;;;Class;CSVB8418F5F;
Influence;Class;{8B91E6EC-17E6-4f17-A945-B462F06AAEC8};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:18:29;11-юни-2021 19:27:05;;;;Class;CSVE0519221;
Ownership;Class;{BC4C98FC-56A4-4ddb-A679-1D1F456C1A33};;1.0;1.0;;;;Java;Jorich;Public;;Proposed;1;;0;0;0;0;11-юни-2021 16:20:26;11-юни-2021 19:27:05;;;;Class;CSV69B9DB25;
